Community,Long,Lat,ProjectionScenario,TotalChangeValue,TotalChangeVolume
ADDISON_ME,-67.74416,44.61841,Future_2055_rcp45_cold_percdiff.combo.b,-11.04020192,-11.3338822
ADDISON_ME,-67.74416,44.61841,Future_2055_rcp45_mean_percdiff.combo.b,-18.99046938,-19.22689474
ADDISON_ME,-67.74416,44.61841,Future_2055_rcp45_warm_percdiff.combo.b,-28.61714919,-29.42027137
ADDISON_ME,-67.74416,44.61841,Future_2055_rcp85_cold_percdiff.combo.b,-12.84274348,-12.99445339
ADDISON_ME,-67.74416,44.61841,Future_2055_rcp85_mean_percdiff.combo.b,-22.16960126,-22.47588481
ADDISON_ME,-67.74416,44.61841,Future_2055_rcp85_warm_percdiff.combo.b,-40.52008594,-42.28083793
ADDISON_ME,-67.74416,44.61841,Future_2100_rcp45_cold_percdiff.combo.b,-10.16306052,-10.24243467
ADDISON_ME,-67.74416,44.61841,Future_2100_rcp45_mean_percdiff.combo.b,-20.28134557,-20.52359512
ADDISON_ME,-67.74416,44.61841,Future_2100_rcp45_warm_percdiff.combo.b,-35.02696267,-36.32944823
ADDISON_ME,-67.74416,44.61841,Future_2100_rcp85_cold_percdiff.combo.b,-33.11008113,-34.26818726
ADDISON_ME,-67.74416,44.61841,Future_2100_rcp85_mean_percdiff.combo.b,-57.31031306,-60.47084094
ADDISON_ME,-67.74416,44.61841,Future_2100_rcp85_warm_percdiff.combo.b,-71.22431596,-75.36423312
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp45_cold_percdiff.combo.b,1.216341525,0.071460802
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp45_mean_percdiff.combo.b,-1.370317133,-0.08511549
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp45_warm_percdiff.combo.b,-6.147198715,-0.376774065
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp85_cold_percdiff.combo.b,-0.429686106,-0.035027851
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp85_mean_percdiff.combo.b,-3.630371163,-0.224561106
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp85_warm_percdiff.combo.b,-7.875763353,-0.483972341
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp45_cold_percdiff.combo.b,0.273280371,0.008747832
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp45_mean_percdiff.combo.b,-3.469255787,-0.214884543
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp45_warm_percdiff.combo.b,-7.782765134,-0.478852558
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp85_cold_percdiff.combo.b,-2.077411866,-0.131517647
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp85_mean_percdiff.combo.b,-8.28853538,-0.5114607
ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp85_warm_percdiff.combo.b,-10.71738564,-0.671341858
AVALON_NJ,-74.71766,39.10122,Future_2055_rcp45_cold_percdiff.combo.b,27.42234251,26.76326279
AVALON_NJ,-74.71766,39.10122,Future_2055_rcp45_mean_percdiff.combo.b,-31.99390702,-31.22309708
AVALON_NJ,-74.71766,39.10122,Future_2055_rcp45_warm_percdiff.combo.b,-71.70278513,-69.97162514
AVALON_NJ,-74.71766,39.10122,Future_2055_rcp85_cold_percdiff.combo.b,-9.982619,-9.742516045
AVALON_NJ,-74.71766,39.10122,Future_2055_rcp85_mean_percdiff.combo.b,-55.26897242,-53.93528578
AVALON_NJ,-74.71766,39.10122,Future_2055_rcp85_warm_percdiff.combo.b,-84.86470513,-82.81511514
AVALON_NJ,-74.71766,39.10122,Future_2100_rcp45_cold_percdiff.combo.b,0.428241098,0.417793222
AVALON_NJ,-74.71766,39.10122,Future_2100_rcp45_mean_percdiff.combo.b,-55.12025756,-53.79023535
AVALON_NJ,-74.71766,39.10122,Future_2100_rcp45_warm_percdiff.combo.b,-86.27755513,-84.19379514
