,Community,Long,Lat,ProjectionScenario,TotalChangeValue,TotalChangeVolume,Poverty,Labor.Force,Housing.Characteristics,Population.Composition,Personal.Disruption,Housing.Disruption,Retiree.Migration,Urban.Sprawl,Commercial.Engagement,Commercial.Reliance,Recreational.Engagement,Recreational.Reliance,Sea.Level.Rise.Risk,Storm.Surge.Risk
1,ADDISON_ME,-67.74416,44.61841,Future_2055_rcp45_cold_percdiff.combo.b,-11.04020192,-11.3338822,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
2,ADDISON_ME,-67.74416,44.61841,Future_2055_rcp45_mean_percdiff.combo.b,-18.99046938,-19.22689474,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
3,ADDISON_ME,-67.74416,44.61841,Future_2055_rcp45_warm_percdiff.combo.b,-28.61714919,-29.42027137,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
4,ADDISON_ME,-67.74416,44.61841,Future_2055_rcp85_cold_percdiff.combo.b,-12.84274348,-12.99445339,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
5,ADDISON_ME,-67.74416,44.61841,Future_2055_rcp85_mean_percdiff.combo.b,-22.16960126,-22.47588481,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
6,ADDISON_ME,-67.74416,44.61841,Future_2055_rcp85_warm_percdiff.combo.b,-40.52008594,-42.28083793,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
7,ADDISON_ME,-67.74416,44.61841,Future_2100_rcp45_cold_percdiff.combo.b,-10.16306052,-10.24243467,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
8,ADDISON_ME,-67.74416,44.61841,Future_2100_rcp45_mean_percdiff.combo.b,-20.28134557,-20.52359512,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
9,ADDISON_ME,-67.74416,44.61841,Future_2100_rcp45_warm_percdiff.combo.b,-35.02696267,-36.32944823,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
10,ADDISON_ME,-67.74416,44.61841,Future_2100_rcp85_cold_percdiff.combo.b,-33.11008113,-34.26818726,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
11,ADDISON_ME,-67.74416,44.61841,Future_2100_rcp85_mean_percdiff.combo.b,-57.31031306,-60.47084094,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
12,ADDISON_ME,-67.74416,44.61841,Future_2100_rcp85_warm_percdiff.combo.b,-71.22431596,-75.36423312,-0.0074,0.2056,1.0842,-0.6122,-0.072,0.5644,0.0662,-2.242,0.32725,0.33725,NA,NA,-0.12,-0.37
13,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp45_cold_percdiff.combo.b,1.216341525,0.071460802,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
14,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp45_mean_percdiff.combo.b,-1.370317133,-0.08511549,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
15,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp45_warm_percdiff.combo.b,-6.147198715,-0.376774065,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
16,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp85_cold_percdiff.combo.b,-0.429686106,-0.035027851,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
17,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp85_mean_percdiff.combo.b,-3.630371163,-0.224561106,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
18,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2055_rcp85_warm_percdiff.combo.b,-7.875763353,-0.483972341,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
19,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp45_cold_percdiff.combo.b,0.273280371,0.008747832,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
20,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp45_mean_percdiff.combo.b,-3.469255787,-0.214884543,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
21,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp45_warm_percdiff.combo.b,-7.782765134,-0.478852558,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
22,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp85_cold_percdiff.combo.b,-2.077411866,-0.131517647,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
23,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp85_mean_percdiff.combo.b,-8.28853538,-0.5114607,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
24,ATLANTIC CITY_NJ,-74.42293,39.36428,Future_2100_rcp85_warm_percdiff.combo.b,-10.71738564,-0.671341858,2.0678,0.032,0.5958,1.845,2.0258,1.8024,-0.383,-0.362,1.81825,-0.07375,NA,NA,1.263,1.283
25,AVALON_NJ,-74.71766,39.10122,Future_2055_rcp45_cold_percdiff.combo.b,27.42234251,26.76326279,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
26,AVALON_NJ,-74.71766,39.10122,Future_2055_rcp45_mean_percdiff.combo.b,-31.99390702,-31.22309708,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
27,AVALON_NJ,-74.71766,39.10122,Future_2055_rcp45_warm_percdiff.combo.b,-71.70278513,-69.97162514,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
28,AVALON_NJ,-74.71766,39.10122,Future_2055_rcp85_cold_percdiff.combo.b,-9.982619,-9.742516045,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
29,AVALON_NJ,-74.71766,39.10122,Future_2055_rcp85_mean_percdiff.combo.b,-55.26897242,-53.93528578,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
30,AVALON_NJ,-74.71766,39.10122,Future_2055_rcp85_warm_percdiff.combo.b,-84.86470513,-82.81511514,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
31,AVALON_NJ,-74.71766,39.10122,Future_2100_rcp45_cold_percdiff.combo.b,0.428241098,0.417793222,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
32,AVALON_NJ,-74.71766,39.10122,Future_2100_rcp45_mean_percdiff.combo.b,-55.12025756,-53.79023535,-0.6816,1.6088,-0.9382,-1.321,-0.8606,1.0548,1.6698,0.97,0.02025,-0.0515,NA,NA,0.982,0.988
