COCACommunity,COCA_clean,Colburn_clean,ColburnCommunity,Lat,Long,lat_sort
ADDISON_ME,"Addison, ME","Addison, ME","Addison, ME",44.61841,-67.74416,7
ATLANTIC CITY_NJ,"Atlantic City, NJ","Atlantic City, NJ","Atlantic City, NJ",39.36428,-74.42293,126
AVALON_NJ,"Avalon, NJ","Avalon, NJ","Avalon, NJ",39.10122,-74.71766,128
BAR HARBOR_ME,"Bar Harbor, ME","Bar Harbor, ME","Bar Harbor, ME",44.38761,-68.20391,17
BARNEGAT LIGHT/LONG BEACH_NJ,"Barnegat Light Long Beach, NJ","Barnegat Light, NJ","Barnegat Light, NJ",39.75762,-74.10625,125
BARNSTABLE_MA,"Barnstable, MA","Barnstable Town, MA","Barnstable Town, MA",41.70032,-70.3002,83
BEALS ISLAND_ME,"Beals Island, ME","Beals, ME","Beals, ME",44.51985,-67.61504,11
BEAUFORT_NC,"Beaufort, NC","Beaufort, NC","Beaufort, NC",34.71822,-76.66382,144
BELFORD_NJ,"Belford, NJ","Belford, NJ","Belford, NJ",40.42594,-74.08681,122
BEVERLY_MA,"Beverly, MA","Beverly, MA","Beverly, MA",42.55843,-70.88005,60
BLUE HILL_ME,"Blue Hill, ME","Blue Hill, ME","Blue Hill, ME",44.41397,-68.58669,15
BOOTHBAY HARBOR_ME,"Boothbay Harbor, ME","Boothbay Harbor, ME","Boothbay Harbor, ME",43.8523,-69.6281,36
BOSTON_MA,"Boston, MA","Boston, MA","Boston, MA",42.36008,-71.05888,65
BREMEN_ME,"Bremen, ME","Bremen, ME","Bremen, ME",43.99287,-69.40267,28
BRISTOL_NEW_HARBOR_PEMAQUID_ME,"Bristol New Harbor Pemaquid, ME","Bristol New Harbor Pemaquid, ME","Bristol New Harbor Pemaquid, ME",43.92481,-69.49541,31
BRISTOL_RI,"Bristol, RI","Bristol, RI","Bristol, RI",41.67711,-71.2662,85
BRUNSWICK_ME,"Brunswick, ME","Brunswick, ME","Brunswick, ME",43.91402,-69.967,33
BUCKS HARBOR_ME,"Bucks Harbor, ME","Bucksport, ME","Bucksport, ME",44.64195,-67.38776,6
CAPE MAY_NJ,"Cape may, NJ","Cape May, NJ","Cape May, NJ",38.93511,-74.90601,130
CAPE PORPOISE_ME,"Cape Porpoise, ME",,"Kennebunkport, ME",43.37208,-70.43849,45
CHATHAM_MA,"Chatham, MA","Chatham, MA","Chatham, MA",41.68355,-69.96252,84
CHEBEAGUE ISLAND_ME,"Chebeague Island, ME","Chebeague Island, ME","Chebeague Island, ME",43.74166,-70.10749,42
CHINCOTEAGUE_VA,"Chincoteague, VA","Chincoteague, VA","Chincoteague, VA",37.93318,-75.37881,132
