COCACommunity,COCA_clean,TimeHorizon,ClimateScenario,EnsembleStat,EmergingSpecies,EmergingSpecies_rescaled
ADDISON_ME,"Addison, ME",2055,rcp85,mean,19,0.8181818181818182
ADDISON_ME,"Addison, ME",2100,rcp85,mean,19,0.782608695652174
ATLANTIC CITY_NJ,"Atlantic City, NJ",2055,rcp85,mean,6,0.22727272727272727
ATLANTIC CITY_NJ,"Atlantic City, NJ",2100,rcp85,mean,7,0.2608695652173913
AVALON_NJ,"Avalon, NJ",2055,rcp85,mean,5,0.18181818181818182
AVALON_NJ,"Avalon, NJ",2100,rcp85,mean,5,0.17391304347826086
BAR HARBOR_ME,"Bar Harbor, ME",2055,rcp85,mean,14,0.5909090909090909
BAR HARBOR_ME,"Bar Harbor, ME",2100,rcp85,mean,22,0.9130434782608695
BARNEGAT LIGHT/LONG BEACH_NJ,"Barnegat Light Long Beach, NJ",2055,rcp85,mean,4,0.13636363636363635
BARNEGAT LIGHT/LONG BEACH_NJ,"Barnegat Light Long Beach, NJ",2100,rcp85,mean,4,0.13043478260869565
BARNSTABLE_MA,"Barnstable, MA",2055,rcp85,mean,8,0.3181818181818182
BARNSTABLE_MA,"Barnstable, MA",2100,rcp85,mean,8,0.30434782608695654
BEALS ISLAND_ME,"Beals Island, ME",2055,rcp85,mean,22,0.9545454545454546
BEALS ISLAND_ME,"Beals Island, ME",2100,rcp85,mean,21,0.8695652173913043
BEAUFORT_NC,"Beaufort, NC",2055,rcp85,mean,2,0.045454545454545456
BELFORD_NJ,"Belford, NJ",2055,rcp85,mean,4,0.13636363636363635
BELFORD_NJ,"Belford, NJ",2100,rcp85,mean,6,0.21739130434782608
BEVERLY_MA,"Beverly, MA",2055,rcp85,mean,15,0.6363636363636364
BEVERLY_MA,"Beverly, MA",2100,rcp85,mean,17,0.6956521739130435
BLUE HILL_ME,"Blue Hill, ME",2055,rcp85,mean,16,0.6818181818181818
BLUE HILL_ME,"Blue Hill, ME",2100,rcp85,mean,19,0.782608695652174
BOOTHBAY HARBOR_ME,"Boothbay Harbor, ME",2055,rcp85,mean,20,0.8636363636363636
BOOTHBAY HARBOR_ME,"Boothbay Harbor, ME",2100,rcp85,mean,21,0.8695652173913043
BOSTON_MA,"Boston, MA",2055,rcp85,mean,12,0.5
BOSTON_MA,"Boston, MA",2100,rcp85,mean,17,0.6956521739130435
BREMEN_ME,"Bremen, ME",2055,rcp85,mean,17,0.7272727272727273
BREMEN_ME,"Bremen, ME",2100,rcp85,mean,20,0.8260869565217391
BRISTOL_NEW_HARBOR_PEMAQUID_ME,"Bristol New Harbor Pemaquid, ME",2055,rcp85,mean,18,0.7727272727272727
BRISTOL_NEW_HARBOR_PEMAQUID_ME,"Bristol New Harbor Pemaquid, ME",2100,rcp85,mean,21,0.8695652173913043
BRISTOL_RI,"Bristol, RI",2055,rcp85,mean,9,0.36363636363636365
BRISTOL_RI,"Bristol, RI",2100,rcp85,mean,8,0.30434782608695654
BRUNSWICK_ME,"Brunswick, ME",2055,rcp85,mean,10,0.4090909090909091
BRUNSWICK_ME,"Brunswick, ME",2100,rcp85,mean,16,0.6521739130434783
BUCKS HARBOR_ME,"Bucks Harbor, ME",2055,rcp85,mean,19,0.8181818181818182
