COCA_clean,TimeHorizon,social_impact_raw,social_impact_presacledchange,social_impact_pretranschange,social_impact_fullyscaled,social_impact_fullytrans
"Addison, ME",2055,-44.33920252,0.623355988,-1.213732158,0.10389266466666666,-0.202288693
"Atlantic City, NJ",2055,-3.630371163,0.485681749,0.373959982,0,0
"Avalon, NJ",2055,-55.26897242,0.001017041,-2.358002757,0,-0
"Bar Harbor, ME",2055,-22.971338543999998,0.40810419239999995,-0.5360770692,0.022672455133333328,-0.029782059399999995
"Barnegat Light Long Beach, NJ",2055,-116.35063608,0.986988564,-3.891475776,0.246747141,-0.972868944
"Barnstable, MA",2055,11.04254106,0.623397383,1.150236807,0,0
"Beals Island, ME",2055,-80.5273538,1.323215344,-1.996229392,0.330803836,-0.499057348
"Beaufort, NC",2055,4.695012684,1.2914788320000001,1.6068549408000001,0.251120884,0.3124440162666666
"Belford, NJ",2055,-2.1835652496,1.4348206627999998,1.4693513155999998,0.30746157059999996,0.31486099619999997
"Beverly, MA",2055,-30.96647901,0.229113089,-1.072268736,0,-0
"Blue Hill, ME",2055,-44.730013008,0.41178581760000005,-1.4608186976000002,0.05147322720000001,-0.18260233720000005
"Boothbay Harbor, ME",2055,-72.39037618,0.36007593,-2.697791744,0.060012655,-0.4496319573333333
"Boston, MA",2055,-44.90651514,0.098276014,-1.809772432,0,-0
"Bremen, ME",2055,-36.6270906,0.6957396,-0.80571951,0.11595659999999999,-0.13428658499999999
"Bristol New Harbor Pemaquid, ME",2055,-51.36057076,0.557455492,-1.585200708,0.09290924866666667,-0.264200118
"Bristol, RI",2055,-0.065508748,0.519140498,0.562560584,0,0
"Brunswick, ME",2055,-2.244191045,0.498692028,0.447296446,0,0
"Bucks Harbor, ME",2055,-21.41305075,0.318778754,-0.566840444,0,-0
"Cape May, NJ",2055,-17.195174432,1.917632532,1.3543872,0.479408133,0.3385968
"Cape Porpoise, ME",2055,-104.228057056,0.6849632448,-3.7029465248,0.15697074360000002,-0.8485919119333334
"Chatham, MA",2055,4.5021961784,2.0173265959999997,2.3890907952,0.4954837253333333,0.5867942303999999
"Chebeague Island, ME",2055,31.703892000000003,1.4410251526,2.9225662202000002,0.26200457320000003,0.5313756764
"Chincoteague, VA",2055,24.7119089,1.27144939,2.439447032,0.21190823166666664,0.4065745053333333
"Cohasset, MA",2055,-27.18450201,0.264609612,-0.872181592,0,-0
