LatID,ID,Community,City,State,ColburnCommunity,Long,Lat,City_raw,City_raw_community,City_raw_short,City_label,meanLat
1,33,EASTPORT_ME,Eastport,ME,"Eastport, ME",-66.9899785,44.9061906,Eastport,"Eastport, ME",Eastport,"Eastport, ME",44.04937195714286
2,61,LUBEC_ME,Lubec,ME,"Lubec, ME",-66.9835907,44.8585863,Lubec,"Lubec, ME",Lubec,"Lubec, ME",44.04937195714286
3,62,MACHIASPORT_ME,Machiasport,ME,"Machiasport, ME",-67.3955242,44.6972521,Machiasport,"Machiasport, ME",Machiasport,"Machiasport, ME",44.04937195714286
4,28,CUTLER_ME,Cutler,ME,"Cutler, ME",-67.2038737,44.6575794,Cutler,"Cutler, ME",Cutler,"Cutler, ME",44.04937195714286
5,18,BUCKS HARBOR_ME,Bucks Harbor,ME,NA,-67.3877631,44.641946,Bucks Harbor,"Bucks Harbor, ME",Bucks Harbor,"Bucks Harbor, ME",44.04937195714286
6,1,ADDISON_ME,Addison,ME,"Addison, ME",-67.7441645,44.6184102,Addison,"Addison, ME",Addison,"Addison, ME",44.04937195714286
7,66,MILBRIDGE_ME,Milbridge,ME,"Milbridge, ME",-67.8808344,44.5353556,Milbridge,"Milbridge, ME",Milbridge,"Milbridge, ME",44.04937195714286
8,57,JONESPORT_ME,Jonesport,ME,"Jonesport, ME",-67.6030098,44.531045399999996,Jonesport,"Jonesport, ME",Jonesport,"Jonesport, ME",44.04937195714286
9,47,HANCOCK_ME,Hancock,ME,"Hancock, ME",-68.2537463,44.5291357,Hancock,"Hancock, ME",Hancock,"Hancock, ME",44.04937195714286
10,7,BEALS ISLAND_ME,Beals Island,ME,"Beals, ME",-67.615038,44.5198491,Beals Island,"Beals Island, ME",Beals Island,"Beals Island, ME",44.04937195714286
11,112,STUEBEN_ME,Stueben,ME,"Steuben, ME",-67.9652562,44.5107169,Stueben,"Stueben, ME",Stueben,"Stueben, ME",44.04937195714286
